q13_text,q14_text,q15_text,q16_text,q17_text
"na verdade sou contra linchamento, respondi a numero 1 porque pede para responder uma",resposta idem a primeira,a mesma,igual,idem
nao acho justificavel em nenhum caso,nao acho justificavel em nenhum caso,nao acho justificavel em nenhum caso,nao acho justificavel em nenhum caso,nao acho justificavel em nenhum caso
justiça,tinha toda uma vida pra viver,por ser .mulher  e negra,não foi tão grande o roubo não aceito o  crime,não  escolhi não  aceito  o  crime  nesse caso
"em nenhum dos casos o linchamento é justificado, porém é mais injustificado ainda quando a polícia que deveria conduzir o criminoso à delegacia, é responsável pelo seu linchamento.","em nenhum dos casos o linchamento é justificado, porém, em virtude da gravidade do crime, sendo obrigado a votar, o primeiro caso é mais justificado.","novamente, em nenhum dos casos o linchamento é justificado, porém em virtude da gravidade do crime cometido e sendo obrigado a votar, eu consideraria o primeiro caso mais justificado","novamente, em nenhum dos casos o linchamento é justificável, porem em virtude da desproporção entre um adulto e uma criança indefesa, eu consideraria o primeiro caso mais justificado.","novamente, em nenhum dos casos o linchamento é justificável, porém, em virtude da desproporção entre uma pessoa adulta e uma criança indefesa, eu consideraria o primeiro caso mais justificado."
porque e o mais comum entre tantos no meu país brasil,por falta de formação informação concreta muita barbaridade acontecendo,são tantas coisas maldade de alguns brasileiros,e sem lógica explicações não aprovo discordo em tudo,eu simplesmente não aprovo nada fazer justiça com as próprias mãos e ridículo condenável
porque que foi um crime praticado contra uma criança,"na verdade não escolheria nenhum,mas não tem outra opção",foi um estupro,gostaria de não ter opinar,ser uma criança
acho que em nenhum caso o linchamento é moralmente aceito. escolhi o dois pois os executores se tratam de vizinhos e portanto podem ser pessoas sem muita informação ou envolvidas emocionalmente. no caso 1 trata-se da policia que tem obrigação de saber e cumprir a lei e para isso foi treinada.,o crime é mais grave e família acaba se envolvendo emocionalmente,gangues são territoriais e isso explicaria lincharem alguém,assassinato é mais grave que molestar,estupro de criança é um crime ediondo
crime de estupro,crime de estupro,adolescente infrator,ação policial,nao concordo com nada
em virtude do crime de assassinato,"no caso 2 , trata se de uma criança",a vitima é uma criança,o crime é mais grave,crime de assassinato
"por causa da severidade do crime, mas não apoio o linchamento de ninguém. o vigilantismo é extremamente perigoso e já tirou a vida de inocentes neste país.","de novo, apesar de eu condenar o vigilantismo, entendo que a reação dos familiares da vítima é minimamente compreensível.","porque trata-se da morte de uma criança, apesar de eu condenar o vigilantismo veementemente. fora isso, uma moça molestar sexualmente um idoso seria surpreendente.","mais uma vez, pela seriedade do crime e por ""compreender"" a reação de familiares. mas sou contra!!!","mais uma vez, por ser uma reação da família mas nenhum dos dois crimes suscitaria nem minimamente uma agressão como essa. e sou contra o vigilantismo, que fique claro."
nada justifica um linchamento escolhi o 2 por falta de uma terceira opção,por falta de uma terceira opção,por falta de uma terceira opção,por falta de uma terceira opção,nada justifica escolhi por falta de opção
"escolhi o caso por falta de uma terceira opção, mas não apoio qualquer tipo de linchamento.","escolhi o caso por falta de uma terceira opção, mas não apoio qualquer tipo de linchamento.","escolhi o caso por falta de uma terceira opção, mas não apoio qualquer tipo de linchamento.","escolhi o caso por falta de uma terceira opção, mas não apoio qualquer tipo de linchamento.","escolhi o caso por falta de uma terceira opção, mas não apoio qualquer tipo de linchamento."
não concordo,NA,NA,NA,nenhum
o linchamento no brasil e devido a justiça nao funcionar,"apesar de não ser a favor do linchamento,neste caso de molestar estupros eu sou a favor sim!","como disse não ser a favor de linchamento ,no caso pedofilia eu sou sim pois crianças nao sabem se defender",apesar que a polícia e para prender e entregar as autoridades  maos no caso de estupro eu acho justificável sim,a família tem que língua e mesmo acho justificável pois se forem presos saem loho
pela vítima ser uma criança,pela vítima ser um adolescente,por ser um idoso cometendo estupro,pela vítima ser adolescente,por ter molestado uma criança
"mesmo que só tenha molestado, deve levar uma corsa para aprender, no caso 1 deve-se ver os outros fatores",por ser indigena  acha que está coberto de razão,"eu escolheria os dois, mas não dá",deve-se dar exemplo,"no caso 1, será que não houve inversão de valores, no caso 2, parece ajuste de contas"
"
crime de molestamento","
crime de molestamento",assasinato,"
crime de molestamento",no caso 1 o criminoso era idoso
idade adulto,por ser idoso,por ser idoso,por ser idoso,por ser idoso
o estupro é um crime hediondo.,"porque a polícia deve cumprir a lei e prender o criminoso, não linchar ninguém.",o assassinato é um crime hediondo.,o assassinato é um crime hediondo.,"novamente, o assassinato é um crime hediondo."
"assassinou,idoso,negro.não concordo com esta barbarie.","pq.pertence a uma gangue,não concordo com isso.","olá,pq.de novo pertence a gangue,nao aprovo.","mulher,gangue,roubo.","familiar,mulher,negro.obs:não sou racista,ok??"
"não sou a favor do linchamento, mas dentre os dois casos, o caso 2 pelo fato de ser um menor de idade, comove mais a população e os enfurece para buscar justiça",caso 1 por a vitima ser menor de idade,NA,NA,NA
NA,NA,NA,NA,NA
"o caso de número 2, a criminosa é uma mulher, mas a vítima é uma criança, por isso a tendência em defesa do menor.","o caso de número 1, o criminoso homem adulto molestando uma senhora indígena, nesse caso a vítima sendo uma mulher vem a defesa da mesma.","o caso de número 2 pra mim será o do linchado, uma mulher adulta assassinou uma criança,eu vou em defesa da criança.","o caso de número 1, pra mim tem um peso maior, um senhor idoso assassinou um adolescente, eu vou em defesa do adolescente.","o caso de número 2, sendo um adolescente que molestou uma idosa, eu vou em defesa da idosa."
nada a declarar,NA,nada a declarar,nada a declarar,não  sei
acho que a família da vítima é que mais se revolta em casos de estupros.,o sofrimento real é somente da família da vítima.,"assassinatos deveriam ser crimes inafiançáveis, puníveis com a morte do autor.","o assassino será sempre um assassino. se matou um, voltará a matar.",assassinatos não deveriam ser perdoáveis.
por ser mulher,por ser idoso,por ser mulher,mora na vizinhança,é um adolescente
crime contra crianças,molesta é crime horrível,criança é indefesa,assassinato é imperdoável,crimes contra idosos é imperdoável
assassinato,idoso indefeso,a propria família fez justiça.,criança gangues,idoso
pela vitima do caso 2 ser um idoso,pelo tipo de crime,pela vitima 2 ser crianca,pelo tipo de crime,pelo tipo de crime do caso 2
porque a mulher é mais vulnerável perante um homem.,"porque os adolescentes estão cada vez mais violentos, sem limites.",porque uma mulher idosa não tem defesa.,porque o crime de morte é mais grave do que roubar uma carteira.,"nada justifica uma morte, linchamento pela policia  ou cidadão."
"não concordo com ninguém sendo linchado, mas se fosse o caso de concordar com isso, seria no caso do criminoso, independente de gênero ou cor, ter molestado alguém.","porque considero estupro um crime hediondo, terrível, não importa o gênero ou a raça do criminoso ou da vítima.","novamente, porque considero estupro um crime hediondo, horrível, mais ainda contra uma criança",porque molestar é algo já bem próximo do estupro.,porque criança precisa ser protegida pela sociedade sempre
só escolhi,neste caso não escolheria nenhum dos dois,pelo estupro,assassinou criança,"assassinou, escolheria os dois casos"
estrupro não tem perdão,"molestou, não tem perdão",molestou? não tem perdão.,"bateu a carteira, tem que apanhar.",crime. estupro.
NA,NA,NA,NA,NA
falta de opção,falta de opção,falta de opção,"falta de opção
",falta de opção
devido a vítima ser idoso que não tem condições de se defender,devido aos linchadores serem da família da vítima,a polícia é para proteger.,o crime do caso 2 é de roubo,a vítima é uma criança e foi assassinada
uma pessoa não deve tirar a vida de outra pessoa,estupro até pode morrer nas mãos de outros prisioneiros da cadeia,molestar e ruim,assassinar alguém tem mais culpa do que roubar,o assassinato deve ser punido
por se tratar de um criminoso assassino.,"mora na vizinhança é da família, apesar de eu não ser a favor.",mora na vizinhança.,criminoso assassino.,"por ser um estrupador e ainda idoso, o que já fez quando mais novo."
não podemos agir pelo justiça própria pois ninguém tem direito de tirar a vida de alguém,não podemos agir pelo justiça própria pois ninguém tem direito de tirar a vida de alguém,não podemos agir pelo justiça própria pois ninguém tem direito de tirar a vida de alguém,não podemos agir pelo justiça própria pois ninguém tem direito de tirar a vida de alguém,não podemos agir pelo justiça própria pois ninguém tem direito de tirar a vida de alguém
"nem um motivo justifica o linchamento, mas como tem que escolher decidi pela vítima que é mulher e o tipo de crime com morte que é imperdoável.",escolhi pelo violência que ocorreu o crime.,por ser um crime monstruoso contra um indefeso.,covardia as gangs não consideram ninguém.,sempre que há um assassinato com a vítima sem poder se depender é uma covardia.
no fundo nao comcordo com nenhum do dois.,porque mereceu,mereceu,porque sim,spu comtra mwxer com criança
muitas vezes ocorre por falta de policiamento,é a falta de policiamento,porque a população não esta aguentando tanta violencia,falta de policiamento adequado,falta de policiamento
escolha al azar pues yo estou en contra de linchamentos,por la misma razao que en el caso anterior,mesma coisa,aunque tenha assesinado merece justiça,"con crianzas por medio e diferente, si merece lincahamento"
"pelo motivo do crime, e foi agredido por pessoas comuns, mesmo não justificando, é mais aceitável.","a vitíma ser de menor, e foi agredido por populares.","a vitíma era criança, e quem praticou a punição foi uma gangue, mesmo estando errados, fizeram justiça com as próprias mãos.","quando a vítima é uma pessoa idosa, e perde a vida, acho até um pouco justificável.","mesmo a vítima sendo adulta, ser molestado causa muita revolta nos moradores."
